applicant_id,age_years,income_type,annual_income,employment_years,education,family_status,housing_type,occupation_type,num_children,family_size,owns_car,owns_realty,credit_history_months,existing_loan_balance,num_credit_lines,payment_status
1,67,Pensioner,17837.46,0.0,Incomplete higher,Widow,House / apartment,Medicine staff,0,1,1,1,208,19982.81,3,2
2,40,Working,52601.51,3.1,Secondary / secondary special,Civil marriage,House / apartment,Sales staff,2,4,1,1,38,22485.31,3,2
3,49,State servant,31494.59,3.6,Incomplete higher,Widow,House / apartment,Laborers,0,2,1,0,224,11340.41,6,3
4,23,Pensioner,11839.15,0.0,Incomplete higher,Single / not married,With parents,Core staff,0,2,1,0,126,22864.47,4,3
5,26,Working,40472.33,3.5,Secondary / secondary special,Civil marriage,Rented apartment,Core staff,0,1,1,1,161,0.0,7,2
6,41,Student,21954.87,13.6,Secondary / secondary special,Widow,With parents,IT staff,0,2,0,1,17,22245.11,0,4
7,56,Pensioner,32515.27,0.0,Higher education,Married,Municipal apartment,Sales staff,1,3,0,1,41,14522.36,6,4
8,58,Pensioner,47774.53,0.0,Higher education,Civil marriage,Municipal apartment,Sales staff,1,3,1,1,100,26540.36,2,4
9,64,Working,47791.37,3.9,Higher education,Separated,House / apartment,Medicine staff,0,1,0,1,130,0.0,5,2
10,30,Commercial associate,111403.86,6.1,Secondary / secondary special,Separated,Municipal apartment,Medicine staff,1,3,0,0,124,25945.07,4,2
11,30,Working,47795.96,2.8,Secondary / secondary special,Separated,House / apartment,Core staff,0,1,0,1,38,0.0,0,3
12,47,State servant,40314.72,2.0,Incomplete higher,Separated,Municipal apartment,IT staff,0,1,1,0,167,28430.16,6,3
13,47,Commercial associate,33132.81,7.8,Higher education,Married,House / apartment,Accountants,0,1,1,1,54,4883.12,2,3
14,22,Pensioner,38883.51,0.0,Secondary / secondary special,Single / not married,House / apartment,IT staff,0,2,1,0,51,19985.28,2,3
15,42,Working,37091.53,9.0,Higher education,Separated,House / apartment,Medicine staff,2,3,1,1,24,13965.79,1,3
16,64,Working,34809.0,6.9,Higher education,Civil marriage,House / apartment,Managers,0,1,1,1,210,27178.15,6,2
17,29,Commercial associate,86905.84,3.8,Secondary / secondary special,Single / not married,Rented apartment,IT staff,0,1,1,0,163,16814.37,5,3
18,61,Working,63242.01,10.0,Secondary / secondary special,Widow,House / apartment,Accountants,1,3,1,1,6,33843.97,7,3
19,42,Pensioner,39094.1,0.0,Secondary / secondary special,Single / not married,House / apartment,Accountants,0,1,0,0,31,6359.45,1,3
20,46,Commercial associate,52393.99,11.6,Secondary / secondary special,Single / not married,Municipal apartment,IT staff,0,1,1,0,147,2581.0,5,3
21,52,Pensioner,27500.44,0.0,Secondary / secondary special,Civil marriage,With parents,IT staff,0,2,1,1,155,7157.23,1,3
22,55,Working,44057.29,2.3,Incomplete higher,Single / not married,With parents,Sales staff,0,2,1,1,219,22599.96,5,2
23,52,Student,19108.22,12.8,Secondary / secondary special,Civil marriage,Municipal apartment,Medicine staff,0,1,0,0,229,23097.28,1,1
24,26,State servant,61749.91,4.0,Secondary / secondary special,Widow,House / apartment,Laborers,1,3,1,0,207,0.0,6,1
25,35,Pensioner,31607.84,0.0,Higher education,Widow,House / apartment,Core staff,0,1,1,1,203,4823.42,3,2
26,62,Working,76104.53,2.4,Secondary / secondary special,Single / not married,House / apartment,Accountants,0,1,0,0,125,18460.91,6,2
27,22,Commercial associate,78841.08,5.4,Secondary / secondary special,Single / not married,House / apartment,Sales staff,1,2,1,1,227,29944.63,3,2
28,56,Working,41301.91,2.6,Higher education,Widow,House / apartment,Managers,1,2,0,1,34,6572.22,0,2
29,46,Working,58052.2,12.4,Secondary / secondary special,Civil marriage,With parents,Drivers,0,1,0,0,143,0.0,1,2
30,26,Pensioner,44718.21,0.0,Secondary / secondary special,Married,House / apartment,Core staff,0,1,0,0,23,27037.97,2,3
31,27,Pensioner,47583.23,0.0,Higher education,Civil marriage,With parents,Laborers,0,1,0,1,184,0.0,1,2
32,69,Student,21231.18,5.9,Lower secondary,Separated,Rented apartment,Laborers,0,1,0,1,170,21479.34,4,2
33,22,Working,45404.37,18.6,Higher education,Civil marriage,House / apartment,Medicine staff,0,2,1,1,237,0.0,6,2
34,22,Working,41587.08,6.1,Incomplete higher,Separated,House / apartment,Managers,0,1,0,1,29,13555.43,2,3
35,21,Commercial associate,72097.46,5.0,Secondary / secondary special,Separated,House / apartment,Medicine staff,0,2,0,1,170,10761.29,0,2
36,51,Working,71365.1,5.9,Higher education,Married,Rented apartment,Drivers,0,2,1,0,14,5610.48,1,3
37,66,Working,51831.86,9.3,Higher education,Widow,House / apartment,Managers,0,1,1,1,20,32274.2,3,4
38,29,Commercial associate,69545.17,8.8,Secondary / secondary special,Married,Rented apartment,Laborers,1,2,1,1,107,14000.0,7,2
39,59,Working,45809.52,6.7,Secondary / secondary special,Married,House / apartment,Laborers,0,1,1,1,229,12981.24,4,3
40,56,Pensioner,24786.67,0.0,Secondary / secondary special,Single / not married,With parents,Drivers,1,2,1,1,44,11918.2,6,5
41,32,Working,42446.38,6.1,Secondary / secondary special,Married,House / apartment,Drivers,2,4,1,1,74,5783.99,1,3
42,24,Pensioner,29327.17,0.0,Higher education,Separated,House / apartment,Medicine staff,0,1,1,1,193,36931.83,1,2
43,44,Pensioner,44837.38,0.0,Secondary / secondary special,Civil marriage,House / apartment,Core staff,1,2,1,0,237,10477.54,0,1
44,24,Working,41224.51,4.1,Incomplete higher,Single / not married,With parents,Drivers,0,1,1,1,130,37257.25,1,3
45,26,Pensioner,28515.6,0.0,Secondary / secondary special,Widow,House / apartment,Laborers,1,2,0,1,81,5093.19,7,3
46,43,Pensioner,19519.3,0.0,Incomplete higher,Single / not married,Rented apartment,Drivers,0,1,0,1,205,15218.56,5,3
47,60,Working,56286.94,1.3,Secondary / secondary special,Widow,House / apartment,Core staff,0,2,1,0,121,9261.65,4,3
48,69,Working,66525.2,2.0,Secondary / secondary special,Civil marriage,Municipal apartment,Core staff,1,3,0,0,93,5358.09,3,2
49,51,Pensioner,43920.08,0.0,Secondary / secondary special,Separated,Municipal apartment,Sales staff,1,3,0,0,55,12732.06,0,3
50,34,Working,48202.99,3.5,Higher education,Widow,House / apartment,Sales staff,1,2,1,1,221,34976.81,2,2
